label,text,words
1,allen's underestimated charm delivers more goodies than lumps of coal . ,11
0,skip the film and buy the philip glass soundtrack cd . ,11
0,involving at times  but lapses quite casually into the absurd . ,11
0,while hoffman's performance is great  the subject matter goes nowhere . ,11
1,a flick about our infantilized culture that isn't entirely infantile . ,11
1,half submarine flick half ghost story all in one criminally neglected film,12
1,intelligent  caustic take on a great writer and dubious human being . ,12
1,at 78 minutes it just zings along with vibrance and warmth . ,12
0,simply doesn't have sufficient heft to justify its two-hour running time . ,12
1,a work of intricate elegance literary lyricism and profound common sense . ,12
1,smart and alert  thirteen conversations about one thing is a small gem . ,13
0,it's a bad sign in a thriller when you instantly know whodunit . ,13
1,the rare imax movie that you'll wish was longer than an hour . ,13
1,by no means a great movie but it is a refreshingly forthright one . ,14
0,falsehoods pile up  undermining the movie's reality and stifling its creator's comic voice . ,14
1,directors brett morgen and nanette burstein have put together a bold biographical fantasia . ,14
1,one of the year's best films  featuring an oscar-worthy performance by julianne moore . ,14
1,grant carries the day with impeccable comic timing  raffish charm and piercing intellect . ,14
0,a real clunker . a well-made  thoughtful  well-acted clunker  but a clunker nonetheless . ,14
1,this charming  thought-provoking new york fest of life and love has its rewards . ,14
0,there's a delightfully quirky movie to be made from curling  but brooms isn't it . ,15
1,sometimes nothing satisfies like old-fashioned swashbuckling . and in this regard on guard delivers . ,15
1,the moral shrapnel and mental shellshock will linger long after this film has ended . ,15
0,cacoyannis is perhaps too effective in creating an atmosphere of dust-caked stagnation and labored gentility . ,16
0,it delivers some chills and sustained unease  but flounders in its quest for deeper meaning . ,16
1,a rich tale of our times  very well told with an appropriate minimum of means . ,16
1,achieves a sort of filmic epiphany that revels in the true potential of the medium . ,16
0,a long  dull procession of despair  set to cello music culled from a minimalist funeral . ,16
1,awesome creatures breathtaking scenery and epic battle scenes add up to another 'spectacular spectacle . ',16
1,a fascinating dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . ,17
1,it was filled with shootings  beatings  and more cussing than you could shake a stick at . ,17
0,about as original as a gangster sweating bullets while worrying about a contract on his life . ,17
0,could the country bears really be as bad as its trailers ? in a word -- yes . ,18
0,the movie has generic virtues  and despite a lot of involved talent  seems done by the numbers . ,18
0,doesn't get the job done  running off the limited chemistry created by ralph fiennes and jennifer lopez . ,18
0,director carl franklin  so crisp and economical in one false move  bogs down in genre cliches here . ,18
0,the master of disguise is awful . it's pauly shore awful . don't say you weren't warned . ,18
1,spielberg's first real masterpiece  it deserved all the hearts it won -- and wins still  20 years later . ,19
1,if you love reading and/or poetry then by all means check it out . you'll probably love it . ,19
1,as comedic spotlights go notorious c . h . o . hits all the verbal marks it should . ,19
1,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances . ,20
1,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance . ,20
0,while van wilder may not be the worst national lampoon film  it's far from being this generation's animal house . ,20
0,an empty exercise  a florid but ultimately vapid crime melodrama with lots of surface flash but little emotional resonance . ,20
1,to the film's credit the acting is fresh and unselfconscious and munch is a marvel of reality versus sappy sentiment . ,21
0,the film never gets over its own investment in conventional arrangements  in terms of love  age  gender  race  and class . ,21
1,elegantly produced and expressively performed  the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . ,21
0,'synthetic' is the best description of this well-meaning  beautifully produced film that sacrifices its promise for a high-powered star pedigree . ,21
1, . . . a story  an old and scary one  about the monsters we make  and the vengeance they take . ,21
0,hugh grant's act is so consuming that sometimes it's difficult to tell who the other actors in the movie are . ,21
0,denis o'neill's script avoids the prime sports cliche  a last-second goal to win the championship  but it neglects few others . ,21
0,opens at a funeral  ends on the protagonist's death bed and doesn't get much livelier in the three hours in between . ,22
0,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,22
0,this is mild-mannered  been-there material given a pedestrian spin by a director who needed a touch of the flamboyant  the outrageous . ,22
1,at its best  this is grand-scale moviemaking for a larger-than-life figure  an artist who has been awarded mythic status in contemporary culture . ,23
1,campanella's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution . ,23
0,"pumpkin struts about with "" courage "" pinned to its huckster lapel while a yellow streak a mile wide decorates its back . ",23
0,for the future  one hopes mr . plympton will find room for one more member of his little band  a professional screenwriter . ,23
0,the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher . ,23
0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize . and the lesson  in the end  is nothing new . ,23
0,"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be . ",23
1,the lion king was a roaring success when it was released eight years ago but on imax it seems better not just bigger . ,24
0,it doesn't take a rocket scientist to figure out that this is a mormon family movie  and a sappy  preachy one at that . ,24
0,watching the powerpuff girls movie  my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures . ,24
1,captures all the longing  anguish and ache  the confusing sexual messages and the wish to be a part of that elusive adult world . ,24
1,the dramatic crisis doesn't always succeed in its quest to be taken seriously  but huppert's volatile performance makes for a riveting movie experience . ,24
0,the movie is undone by a filmmaking methodology that's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads . ,24
1,bursting through the constraints of its source  this is one adapted- from-television movie that actually looks as if it belongs on the big screen . ,25
1,this in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come . ,25
0,if you're really renting this you're not interested in discretion in your entertainment choices  you're interested in anne geddes  john grisham  and thomas kincaid . ,25
1,more than simply a portrait of early extreme sports  this peek into the 1970s skateboard revolution is a skateboard film as social anthropology . . . ,26
0,how much you are moved by the emotional tumult of [fran?ois and mich?le's] relationship depends a lot on how interesting and likable you find them . ,26
1,the determination of pinochet's victims to seek justice  and their often heartbreaking testimony  spoken directly into director patricio guzman's camera  pack a powerful emotional wallop . ,26
1,as if trying to grab a lump of play-doh  the harder that liman tries to squeeze his story  the more details slip out between his fingers . ,27
1,ozpetek joins the ranks of those gay filmmakers who have used the emigre experience to explore same-sex culture in ways that elude the more nationally settled . ,27
1,cuaron repeatedly  perversely undercuts the joie de vivre even as he creates it  giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective . ,28
1,more concerned with overall feelings  broader ideas  and open-ended questions than concrete story and definitive answers  soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem . ,28
1,a time machine  a journey back to your childhood  when cares melted away in the dark theater  and films had the ability to mesmerize  astonish and entertain . ,28
1,made to be jaglomized is the cannes film festival the annual riviera spree of flesh buzz blab and money . the charming result is festival in cannes . ,28
0,nobody seems to have cared much about any aspect of it  from its cheesy screenplay to the grayish quality of its lighting to its last-minute  haphazard theatrical release . ,29
1,as well-acted and well-intentioned as all or nothing is  however  the film comes perilously close to being too bleak  too pessimistic and too unflinching for its own good . ,29
0,half of it is composed of snappy patter and pseudo-sophisticated cultural observations  while the remainder . . . would be more at home on a daytime television serial . ,29
0,the two leads are almost good enough to camouflage the dopey plot  but so much naturalistic small talk  delivered in almost muffled exchanges  eventually has a lulling effect . ,29
1,not so much a movie as a picture book for the big screen . this isn't my favorite in the series still i enjoyed it enough to recommend . ,29
1,straightforward and old-fashioned in the best possible senses of both those words  possession is a movie that puts itself squarely in the service of the lovers who inhabit it . ,30
0,a dreary  incoherent  self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours . . . a cacophony of pretentious  meaningless prattle . ,31
0,like so many other allegedly scary movies  it gets so tangled up in the twist that it chokes the energy right out of the very audience it seeks to frighten . ,31
1,one of the best examples of how to treat a subject you're not fully aware is being examined much like a photo of yourself you didn't know was being taken . ,31
1,'possession  ' based on the book by a . s . byatt  demands that labute deal with the subject of love head-on trading in his cynicism for reverence and a little wit,33
1,you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful  brutally shocking and difficult to watch . ,34
0,what remains is a variant of the nincompoop benigni persona  here a more annoying  though less angry version of the irresponsible sandlerian manchild  undercut by the voice of the star of road trip . ,34
1,nicole kidman evolved from star to superstar some time over the past year  which means that birthday girl is the kind of quirkily appealing minor movie she might not make for a while . ,34
0,scooby dooby doo / and shaggy too / you both look and sound great . / but daphne  you're too buff / fred thinks he's tough / and velma - wow  you've lost weight ! ,35
1,the story . . . is inspiring ironic and revelatory of just how ridiculous and money-oriented the record industry really is . it is also a testament to the integrity and vision of the band . ,36
1,reveals how important our special talents can be when put in service of of others . it also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them . ,36
0,whereas the extremely competent hitman films such as pulp fiction and get shorty resonate a sardonic verve to their caustic purpose for existing  who is cletis tout ? is an inexpressible and drab wannabe looking for that exact niche . ,40
1,frei assembles a fascinating profile of a deeply humanistic artist who  in spite of all that he's witnessed  remains surprisingly idealistic  and retains an extraordinary faith in the ability of images to communicate the truth of the world around him . ,41
1,it's hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon  dustin hoffman and holly hunter  yet newcomer ellen pompeo pulls off the feat with aplomb . ,42
0,the most memorable moment was when green threw medical equipment at a window not because it was particularly funny  but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration . ,48
1,it would be disingenuous to call reno a great film but you can say that about most of the flicks moving in and out of the multiplex . this is a movie that is what it is : a pleasant distraction a friday night diversion an excuse to eat popcorn . ,51
